X,CH1,
Second,Volt,
1.97400e-04,2.16e-01,
1.98400e-04,2.08e-01,
1.99400e-04,2.24e-01,
2.00400e-04,2.00e-01,
2.01400e-04,2.16e-01,
2.02400e-04,2.00e-01,
2.03400e-04,2.16e-01,
2.04400e-04,2.00e-01,
2.05400e-04,2.16e-01,
2.06400e-04,2.08e-01,
2.07400e-04,2.24e-01,
2.08400e-04,2.08e-01,
2.09400e-04,2.32e-01,
2.10400e-04,2.16e-01,
2.11400e-04,2.32e-01,
2.12400e-04,2.24e-01,
2.13400e-04,2.40e-01,
2.14400e-04,2.48e-01,
2.15400e-04,2.24e-01,
2.16400e-04,2.40e-01,
2.17400e-04,2.64e-01,
2.18400e-04,2.48e-01,
2.19400e-04,2.64e-01,
2.20400e-04,2.64e-01,
2.21400e-04,2.56e-01,
2.22400e-04,2.64e-01,
2.23400e-04,2.48e-01,
2.24400e-04,2.64e-01,
2.25400e-04,2.40e-01,
2.26400e-04,2.48e-01,
2.27400e-04,2.24e-01,
2.28400e-04,2.32e-01,
2.29400e-04,2.08e-01,
2.30400e-04,2.16e-01,
2.31400e-04,2.00e-01,
2.32400e-04,2.00e-01,
2.33400e-04,1.84e-01,
2.34400e-04,1.92e-01,
2.35400e-04,1.76e-01,
2.36400e-04,1.84e-01,
2.37400e-04,1.68e-01,
2.38400e-04,1.76e-01,
2.39400e-04,1.92e-01,
2.40400e-04,1.84e-01,
2.41400e-04,2.00e-01,
2.42400e-04,2.00e-01,
2.43400e-04,2.32e-01,
2.44400e-04,2.16e-01,
2.45400e-04,2.48e-01,
2.46400e-04,2.40e-01,
2.47400e-04,2.64e-01,
2.48400e-04,2.64e-01,
2.49400e-04,2.72e-01,
2.50400e-04,2.80e-01,
2.51400e-04,2.72e-01,
2.52400e-04,2.80e-01,
2.53400e-04,2.88e-01,
2.54400e-04,2.88e-01,
2.55400e-04,2.72e-01,
2.56400e-04,2.80e-01,
2.57400e-04,2.64e-01,
2.58400e-04,2.72e-01,
